代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
603025,603025.SH,沪,大豪科技,13.81,153.18,154.21,18.2824,17.9245,5.5838,4.6057,3.26,21.8,36.65,否
603027,603027.SH,沪,千禾味业,7.22,96.08,96.08,28.669,29.1754,2.9345,3.7548,3.56,13.25,45.51,否
603043,603043.SH,沪,广州酒家,13.5,75.93,76.58,15.6376,16.7132,2.034,1.3989,3.7,18.88,28.5,否
603045,603045.SH,沪,福达合金,57.24,77.53,77.53,26.3483,26.6397,6.2887,1.2981,0.26,95.05,39.78,否
603049,603049.SH,沪,中策橡胶,49.26,248.75,430.77,10.0987,10.2825,1.7122,0.9249,2.9,62.0,20.55,否
603053,603053.SH,沪,成都燃气,8.71,77.42,77.42,16.9912,17.3498,1.5898,1.4821,3.44,11.86,26.56,否
603055,603055.SH,沪,台华新材,8.71,77.39,77.54,15.5141,22.5373,1.4797,1.2183,2.07,11.29,22.85,否
603057,603057.SH,沪,紫燕食品,21.84,89.98,90.66,29.8018,45.2911,4.3226,2.6845,0.82,35.99,39.32,否
603071,603071.SH,沪,物产环能,12.46,69.52,69.52,9.9639,10.4311,1.1704,0.1929,3.77,15.46,19.4,否
603093,603093.SH,沪,南华期货,11.3,99.67,117.31,18.2352,18.273,2.0266,10.061,0.42,27.15,58.38,否
603100,603100.SH,沪,川仪股份,17.36,88.8,89.09,13.8903,14.7925,1.9024,1.3079,2.94,27.17,36.11,否
603112,603112.SH,沪,华翔股份,16.25,86.87,87.74,15.3476,17.7756,1.9895,2.086,2.6,23.95,32.15,否
603128,603128.SH,沪,华贸物流,5.33,69.77,69.77,15.0734,19.9903,1.1592,0.3812,4.2,6.56,18.75,否
603132,603132.SH,沪,金徽股份,18.94,185.23,185.23,26.5384,26.9609,6.0377,9.1853,2.96,23.87,20.65,否
603153,603153.SH,沪,上海建科,13.12,52.98,53.77,14.3346,17.0679,1.4164,1.0735,2.06,21.0,37.52,否
603162,603162.SH,沪,海通发展,12.34,52.11,169.65,18.8167,18.8733,3.4816,2.7751,0.55,19.74,37.49,否
