代码,TS代码,板块,简称,池内档位,质量分,10Y ROE均值_%,10Y ROE最低_%,营收5年CAGR_%,净利润5年CAGR_%,毛利率10Y均值_%,净利率10Y均值_%,FCF5Y转化率,FCF正年数占比_%,OCF负年数,分红率5Y均值_%,资产负债率_%,流通市值_亿,总市值_亿,PE_TTM,股息率_%,审计意见,管理层红旗,分红融资比,覆盖,量化警示,review_status,reviewed_date
300693,300693.SZ,创,盛弘股份,Ⅱ候选,62.2,19.22,8.12,35.031457475236415,34.91661962662198,44.94,12.59,0.683,80.0,0,27.3,47.8,108.2,125.5,22.9968,2.06,unqualified_opinion,大股东增减持近1年净减3.9%,1.58,公司页,股本膨胀>2%,pending,
002152,002152.SZ,深,广电运通,Ⅱ候选,61.9,9.04,7.22,13.46253084650515,5.481155432769413,38.19,14.63,1.159,100.0,0,63.4,48.08,244.5,244.6,29.8972,4.77,unqualified_opinion,质押占总股本14%>10%,1.31,全新,无,pending,
300951,300951.SZ,创,博硕科技,Ⅱ候选,61.7,28.87,6.07,15.348400882989832,-3.5188324530169846,41.78,21.48,0.581,100.0,0,53.0,22.25,122.4,137.0,933.7926,0.74,unqualified_opinion,大股东增减持近1年净减1.4%,0.46,全新,股本膨胀>2%,pending,
301087,301087.SZ,创,可孚医疗,Ⅱ候选,61.7,19.43,5.09,7.3577954934727074,-2.696037168798371,42.94,9.88,0.173,60.0,1,90.8,26.040000000000003,100.6,122.4,30.1019,3.17,unqualified_opinion,无,0.39,全新,无,pending,
002007,002007.SZ,深,华兰生物,Ⅱ候选,61.6,16.33,7.34,-1.766134138795905,-11.521148584505248,64.9,32.69,0.532,100.0,0,68.8,12.26,205.2,238.1,29.4679,5.37,unqualified_opinion,无,8.46,全新,无,pending,
002293,002293.SZ,深,罗莱生活,Ⅱ候选,61.6,13.76,10.17,-0.2950404377521587,-2.5997514193305538,46.12,10.96,1.02,100.0,0,100.4,32.16,94.2,95.0,16.2697,6.16,unqualified_opinion,无,3.59,全新,无,pending,
600415,600415.SH,沪,小商品城,Ⅱ候选,61.6,11.69,6.92,39.845415398217995,35.53252404864313,37.26,21.39,0.738,60.0,1,45.5,48.14,719.4,719.4,16.0168,4.57,unqualified_opinion,无,17.44,公司页/深度分析/管理层档案,无,pending,
300144,300144.SZ,创,宋城演艺,Ⅱ候选,61.5,6.38,-20.06,20.12449984539526,,62.35,5.21,1.747,100.0,0,57.1,14.530000000000001,158.3,159.9,20.9008,4.08,unqualified_opinion,质押占总股本13%>10%,1.03,全新,无,pending,
002517,002517.SZ,深,恺英网络,Ⅱ候选,61.4,18.25,-45.63,28.109022920061676,50.96809087658445,73.93,19.54,0.935,100.0,0,13.3,24.27,327.2,372.0,15.6158,0.57,unqualified_opinion,无,0.61,全新,利润增速显著快于营收,pending,
300049,300049.SZ,创,福瑞医科,Ⅱ候选,61.4,7.58,2.64,14.588570517268117,23.412103383405338,73.13,13.44,0.567,100.0,0,15.9,28.13,98.8,111.7,67.2313,0.35,unqualified_opinion,无,0.41,全新,无,pending,
301286,301286.SZ,创,侨源股份,Ⅱ候选,61.4,21.58,8.58,8.003133360392646,-0.14042765102911803,44.13,22.07,0.252,60.0,0,28.6,6.76,71.4,177.0,69.9576,1.02,unqualified_opinion,无,0.4,全新,无,pending,
600033,600033.SH,沪,福建高速,Ⅱ候选,61.3,8.09,4.83,5.563688044692938,15.30886350120837,58.49,35.32,1.522,100.0,0,41.1,15.02,99.9,99.9,10.9606,3.32,unqualified_opinion,无,1.97,全新,无,pending,
601579,601579.SH,沪,会稽山,Ⅱ候选,61.3,6.08,3.83,10.455046124613476,-3.2861760005797547,46.02,15.54,1.152,100.0,0,68.5,18.38,115.4,115.4,41.3036,1.22,unqualified_opinion,质押占总股本25%>10%,0.53,全新,无,pending,
603279,603279.SH,沪,景津装备,Ⅱ候选,61.3,17.54,11.59,11.809607187291293,0.22747274030014974,30.86,12.35,0.796,100.0,0,68.3,47.83,65.5,65.5,16.0869,7.04,unqualified_opinion,大股东增减持近1年净减2.0%,4.96,全新,无,pending,
603766,603766.SH,沪,隆鑫通用,Ⅱ候选,61.3,10.54,4.8,12.888784558900944,28.702571429253098,18.09,6.54,1.776,100.0,0,51.8,44.379999999999995,303.3,303.3,19.3839,4.74,unqualified_opinion,质押占总股本20%>10%,7.15,全新,无,pending,
002138,002138.SZ,深,顺络电子,Ⅱ候选,61.2,12.38,8.79,14.174461212371025,13.822339470133226,35.21,16.93,0.245,60.0,0,44.7,44.16,340.9,358.7,36.5216,1.78,unqualified_opinion,大股东增减持近1年净减1.1%,1.06,全新,无,pending,
300724,300724.SZ,创,捷佳伟创,Ⅱ候选,61.2,20.29,15.45,30.779550753607097,38.60102151045375,30.72,16.45,0.773,80.0,3,14.4,46.33,152.6,183.1,15.7598,2.28,unqualified_opinion,大股东增减持近1年净减2.3%,0.42,全新,OCF负年数≥3,pending,
603235,603235.SH,沪,天新药业,Ⅱ候选,61.2,33.38,11.48,0.3573226702973331,-7.783410855453221,46.22,31.69,0.205,80.0,0,36.3,20.57,108.6,108.6,19.5659,2.2,unqualified_opinion,无,0.66,全新,无,pending,
300418,300418.SZ,创,昆仑万维,Ⅱ候选,61.1,16.57,-12.98,24.51103535464616,,74.56,35.3,8.016,60.0,1,2.0,22.68,533.6,583.8,166.4058,0.0,unqualified_opinion,无,0.19,全新,无,pending,
002508,002508.SZ,深,老板电器,Ⅱ候选,61.0,21.16,10.85,4.471778277400507,-5.992506919175877,52.78,17.31,0.97,100.0,0,51.0,32.75,149.8,151.7,13.5121,6.23,unqualified_opinion,无,7.07,全新,OCF3Y萎缩>5%,pending,
605389,605389.SH,沪,长龄液压,Ⅱ候选,61.0,20.31,4.67,4.375966282456578,-9.700611934488645,32.96,20.16,0.122,80.0,0,64.3,12.29,117.9,124.4,93.9411,1.05,unqualified_opinion,高管增减持近1年净减6.8%,0.5,全新,无,pending,
002946,002946.SZ,深,新乳业,Ⅱ候选,60.9,15.48,11.77,10.728532303608995,21.120598654149813,29.17,4.54,1.518,100.0,0,34.0,56.510000000000005,132.5,134.1,16.7718,2.96,unqualified_opinion,无,1.8,全新,无,pending,
300634,300634.SZ,创,彩讯股份,Ⅱ候选,60.9,11.54,7.83,19.879762503884614,14.960638564907992,42.59,18.94,0.452,60.0,0,27.9,13.83,88.2,91.6,40.8914,0.71,unqualified_opinion,无,0.44,全新,无,pending,
688480,688480.SH,科,赛恩斯,Ⅱ候选,60.9,12.15,9.64,28.123480116105213,17.434903121500444,30.63,11.58,0.305,80.0,0,39.3,43.15,66.8,66.8,53.3761,0.6,unqualified_opinion,无,0.43,全新,无,pending,
603129,603129.SH,沪,春风动力,Ⅱ候选,60.8,20.44,12.48,34.26364581074086,37.42550047553195,29.53,6.87,1.423,80.0,0,34.0,59.85,455.1,455.1,26.1861,1.42,unqualified_opinion,大股东增减持近1年净减1.8%,0.82,公司页/深度分析/管理层档案,应收增速>营收,pending,
000651,000651.SZ,深,格力电器,Ⅱ候选,60.7,25.54,19.46,0.07271002179960462,5.31432453142473,28.96,13.93,1.064,80.0,0,54.6,61.73,2148.9,2183.4,7.8348,7.69,unqualified_opinion,质押占总股本17%>10%；大股东增减持近1年净减0.8%,30.14,公司页/深度分析,无,pending,
300777,300777.SZ,创,中简科技,Ⅱ候选,60.6,16.09,7.04,16.782739734834063,6.222152551792148,73.99,53.4,0.009,60.0,0,22.7,9.77,97.5,99.5,175.5286,1.01,unqualified_opinion,无,0.21,全新,无,pending,
605116,605116.SH,沪,奥锐特,Ⅱ候选,60.6,16.0,11.63,18.66447911936957,23.362836910842645,52.11,22.3,-0.103,40.0,0,31.2,37.05,79.8,79.8,21.384,1.72,unqualified_opinion,大股东增减持近1年净减1.8%；高管增减持近1年净减1.0%,1.27,全新,5Y累计FCF为负,pending,
300957,300957.SZ,创,贝泰妮,Ⅱ候选,60.4,34.49,8.11,15.24065694324035,-1.0107315917946114,76.91,17.44,0.665,100.0,0,39.9,24.42,142.4,142.4,25.8456,2.37,unqualified_opinion,大股东增减持近1年净减5.1%,0.52,全新,应收增速>营收,pending,
605499,605499.SH,沪,东鹏饮料,Ⅱ候选,60.1,39.3,22.05,33.3080340821418,40.29714430538651,45.19,15.75,1.054,100.0,0,67.1,64.73,814.0,884.0,18.0149,4.09,unqualified_opinion,无,4.27,公司页/深度分析/管理层档案,应收增速>营收；股本膨胀>2%,pending,
002273,002273.SZ,深,水晶光电,Ⅱ候选,60.0,9.68,6.43,16.537015976828574,20.485097103238225,28.61,15.52,0.413,60.0,0,50.9,20.43,340.0,346.1,28.9384,1.2,unqualified_opinion,大股东增减持近1年净减0.9%,0.66,全新,无,pending,
300298,300298.SZ,创,三诺生物,Ⅱ候选,60.0,9.45,0.61,18.249841001341082,-34.7666984973387,60.21,11.56,1.35,100.0,0,41.2,42.230000000000004,71.7,89.2,66.8642,0.0,unqualified_opinion,质押占总股本14%>10%,1.26,全新,无,pending,
