二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
140,03360,3360.HK,Financial Services,22.8,C-暂缓,8.0,7.152033,18.38,4.69,-12.91,否,FCF/NI<70%,8.54,4.69,-12.91,nan,11.5,-5.17,41.86,10.32,7.95,1.09,73.78,5.43,6.37,1.12,0.11,0.4,-0.8,9965983000.0
141,01929,1929.HK,Consumer Cyclical,21.5,C-暂缓,26.0,13.372891,28.73,-0.1,18.7,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,16.95,-0.1,18.7,-49.23,13.01,2.43,32.31,9.54,29.07,11.09,31.06,0.86,15.78,1.68,1.16,0.08,-0.45,1317000000.0
142,00551,0551.HK,Consumer Cyclical,20.9,C-暂缓,18.0,9.854853,28.95,-3.62,8.74,否,经营现金流3Y为负；FCF/NI<70%,19.1,-3.62,8.74,-13.32,-0.56,-5.31,22.76,4.74,8.25,5.11,12.95,0.21,9.8,2.12,1.08,0.69,-0.16,591240000.0
143,00586,0586.HK,Industrials,19.6,C-暂缓,16.0,6.795652,44.96,-6.05,-47.99,否,应收增速>营收；FCF/NI<70%,14.2,-6.05,-47.99,0.53,35.14,-0.23,34.7,34.29,4.54,2.7,34.38,0.59,4.74,1.06,0.08,0.07,-0.39,1839363000.0
144,00902,0902.HK,Utilities,19.5,C-暂缓,8.0,6.482122,26.34,-2.41,nan,否,FCF/NI<70%,7.63,-2.41,nan,27.38,5.08,-4.67,18.45,6.28,10.11,2.4,50.49,2.17,4.34,0.52,0.38,0.62,0.0,67212899994.0
145,00916,0916.HK,Utilities,16.1,C-暂缓,18.0,10.474209,38.28,-8.79,-3.97,否,经营现金流3Y为负；FCF/NI<70%,8.66,-8.79,-3.97,-9.65,-1.03,-18.9,34.79,14.96,6.03,1.73,49.68,1.76,3.18,0.63,0.12,-0.46,-0.09,21832566099.33
146,00358,0358.HK,Basic Materials,16.1,C-暂缓,16.0,9.33377,31.94,4.3,5.96,否,应收增速>营收；FCF/NI<70%,53.75,4.3,5.96,nan,14.08,21.45,4.4,1.31,8.77,3.46,34.46,0.93,5.08,1.26,2.65,-1.61,0.0,-6914101315.0
147,00083,0083.HK,Real Estate,15.2,C-暂缓,24.0,21.50406,20.75,-19.27,-11.18,否,应收增速>营收；经营现金流3Y为负；股数膨胀>2%,13.3,-19.27,-11.18,-15.95,1.45,-10.56,47.6,49.11,2.37,2.21,1.61,0.02,75.53,7.49,0.04,0.93,5.84,3839000000.0
148,00659,0659.HK,Industrials,15.1,C-暂缓,18.0,15.51041,15.78,-7.89,8.24,否,应收增速>营收；经营现金流3Y为负,9.57,-7.89,8.24,-26.63,37.57,-67.1,14.9,9.62,5.87,1.64,19.75,0.71,3.96,0.4,0.17,0.77,0.83,2448700000.0
149,00148,0148.HK,Industrials,14.6,C-暂缓,26.0,12.369027,66.9,-2.78,6.39,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,151.8,-2.78,6.39,-23.5,8.75,-9.51,17.47,9.7,6.81,4.37,21.95,0.35,8.1,1.85,0.45,0.19,-0.01,4738794000.0
150,00636,0636.HK,Industrials,13.4,C-暂缓,18.0,7.430963,25.7,-11.88,-26.59,否,应收增速>营收；经营现金流3Y为负,7.9,-11.88,-26.59,-18.46,1.65,-10.29,10.46,2.51,7.99,3.27,26.33,0.65,5.65,1.41,1.3,1.61,0.0,2919112000.0
151,00836,0836.HK,Utilities,13.3,C-暂缓,21.0,7.274143,15.7,-0.42,25.6,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,22.16,-0.42,25.6,22.71,6.22,3.98,51.79,14.5,12.1,3.83,53.31,1.79,6.2,0.52,0.26,-0.17,2.48,44650887000.0
152,00152,0152.HK,Industrials,13.0,C-暂缓,18.0,8.31345,43.76,1.72,18.64,否,经营现金流3Y为负；FCF/NI<70%,9.3,1.72,18.64,-23.62,6.02,10.19,21.03,13.76,6.32,1.56,46.6,1.99,3.84,0.69,0.11,-2.44,0.77,4514865000.0
153,00316,0316.HK,Industrials,12.0,C-暂缓,26.0,9.788818,16.38,-21.13,-46.65,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,178.9,-21.13,-46.65,-43.86,-7.7,3.19,16.81,15.57,11.29,8.54,7.24,0.1,84.67,2.89,0.55,-0.01,0.0,1990771000.0
154,01898,1898.HK,Energy,7.8,C-暂缓,26.0,8.470765,25.85,-12.44,-7.4,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,15.24,-12.44,-7.4,-11.94,-4.17,-9.22,20.15,9.79,9.04,3.98,19.33,0.45,11.61,1.07,0.41,0.55,0.0,29791934000.0
155,00576,0576.HK,Industrials,6.7,C-暂缓,32.0,6.102479,24.63,8.82,0.93,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,8.16,8.82,0.93,-18.66,34.75,43.34,34.3,26.95,10.57,2.09,36.38,2.12,7.33,1.32,0.08,0.47,8.73,4203482000.0
156,01772,1772.HK,Basic Materials,3.9,C-暂缓,26.0,10.316653,59.85,-17.97,-57.15,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,91.2,-17.97,-57.15,-38.22,-4.99,8.74,15.72,6.99,3.57,1.51,29.88,0.75,1.81,0.92,0.22,-2.78,1.3,2944844627.19
157,01171,1171.HK,Energy,1.7,C-暂缓,26.0,10.435614,23.65,-13.63,-35.66,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,17.42,-13.63,-35.66,-30.85,2.26,-7.88,29.34,6.22,8.97,2.08,29.48,1.33,5.5,0.84,0.34,0.11,1.32,19484794000.0
