二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
573,002241,002241.SZ,深,歌尔股份,17.6,C-暂缓,18.0,20.8361,53.2144,42.48,10.83,6.09,否,经营现金流3Y为负；FCF/NI<70%,-2.73,28.87,-6.27,-2.62,-8.99,11.8,3.97,10.75,4.42,58.85,1.4301,6.85,0.0851,1.22,-4.36,48.2,6848877206
574,601801,601801.SH,沪,皖新传媒,17.6,C-暂缓,18.0,14.3612,18.1211,24.55,-1.57,4.49,否,应收增速>营收；经营现金流3Y为负,-11.86,2.85,-9.88,4.97,-12.74,24.16,9.95,6.75,4.14,37.64,0.6036,11.68,1.3366,-0.53,-25.56,11.03,1262511351
575,600362,600362.SH,沪,江西铜业,17.5,C-暂缓,16.0,19.8617,16.2073,35.13,11.32,25.03,否,应收增速>营收；FCF/NI<70%,4.3,7.04,nan,14.08,21.45,4.4,1.37,8.21,3.63,56.95,1.3229,4.35,-1.5268,0.0,4.55,0.6,-6914101315
576,688778,688778.SH,科,厦钨新能,17.4,C-暂缓,14.0,24.6567,25.65,55.27,20.0,24.37,否,FCF/NI<70%；股数膨胀>2%,-11.57,-12.82,nan,-6.68,26.73,9.96,3.77,7.93,4.05,56.29,1.2878,45.49,0.5593,18.86,49.51,53.33,1224012462
577,600873,600873.SH,沪,梅花生物,17.3,C-暂缓,26.0,10.006,21.1598,41.39,7.26,26.69,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-4.66,-9.36,-10.83,19.21,-9.44,19.0,13.55,21.22,13.2,36.92,0.5853,71.21,0.5877,-2.68,-3.43,19.72,4009259646
578,601788,601788.SH,沪,光大证券,17.3,C-暂缓,18.0,15.3644,16.0973,34.27,-7.32,8.79,否,应收增速>营收；经营现金流3Y为负,0.22,5.06,-8.79,11.22,nan,,34.63,5.29,1.23,77.11,3.3687,,3.6326,0.0,13.06,21.78,13906584557
579,000581,000581.SZ,深,威孚高科,17.1,C-暂缓,16.0,15.3625,23.7995,33.5,-1.37,-17.17,否,应收增速>营收；FCF/NI<70%,-1.88,79.3,nan,11.55,2.49,17.33,9.15,5.32,3.79,29.69,0.4223,50.21,0.0717,-1.4,7.67,-35.9,992727023
580,600346,600346.SH,沪,恒力石化,17.1,C-暂缓,8.0,11.8277,14.7775,30.78,5.7,-12.12,否,应收增速>营收,-3.3,45.05,6.24,19.87,-14.42,13.14,3.52,10.87,2.64,74.53,2.9262,3.24,3.3994,0.0,-14.94,0.3,31121788543
581,600685,600685.SH,沪,中船防务,17.1,C-暂缓,20.0,29.65,32.8074,33.62,12.1,-20.69,否,增速异常；FCF/NI<70%,17.1,17.03,nan,7.93,25.12,10.06,5.54,5.31,2.08,61.28,1.5826,8.34,-0.5319,0.0,5.9,141.82,-322225535
582,603713,603713.SH,沪,密尔克卫,17.1,C-暂缓,16.0,17.583,19.3283,21.08,31.23,20.8,否,应收增速>营收；FCF/NI<70%,4.83,6.11,7.07,22.45,49.01,11.54,5.59,14.8,4.29,74.47,2.917,6.53,0.424,-1.29,10.04,13.95,751969286
