代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
YETI,Consumer Cyclical,43.35,31.67,19.219173,19.71,53.99,5.41,22.63,,,,25.43,18.49,254737000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
YMM,Technology,8.525,66.47,15.126357,39.41,14.07,22.87,121.3,,,,11.01,0.08,4626880000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ZTO,Industrials,21.31,88.19,11.37849,18.66,26.2,11.54,10.07,,,,13.68,12.61,11968419000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ZTS,Healthcare,75.06,315.92,12.556276,52.79,159.0,5.42,8.13,,,,80.25,59.73,2904000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BSBR,Financial Services,5.585,416.15,16.28655,23.7,7.32,2.64,-3.68,,,,10.2,2.21,4992175000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BVN,Basic Materials,34.03,58.45,8.105665,23.82,44.67,28.05,9.08,,,,19.26,0.15,238347000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BXSL,Financial Services,24.545,43.47,19.395961,18.73,30.2,16.28,11.68,,,,9.02,55.13,-458657000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BZ,Communication Services,15.68,59.5,15.461613,37.93,25.26,22.38,194.36,,,,13.66,0.64,4552371000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CALM,Consumer Defensive,80.8,34.12,12.149321,31.2,117.45,-2.55,-25.24,,,,12.03,0.05,479753000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CBZ,Industrials,54.94,26.76,26.379808,18.29,67.24,25.0,3.1,,,,6.55,41.47,192485000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CCL,Consumer Cyclical,25.905,364.85,12.245619,23.88,34.03,29.81,nan,,,,22.47,54.16,6218000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CDE,Basic Materials,21.06,214.53,17.588235,24.16,27.77,38.12,nan,,,,17.68,7.51,886879000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHDN,Consumer Cyclical,92.255,60.0,15.57725,22.05,118.35,17.37,-4.48,,,,37.93,68.66,769800000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NYT,Communication Services,64.97,91.45,27.477849,25.41,87.1,6.96,25.53,,,,16.85,1.22,584489000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OBDC,Financial Services,11.315,55.79,19.752028,21.64,14.44,9.83,10.39,,,,8.48,54.11,1741520000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OSK,Industrials,151.105,86.83,17.13418,16.28,180.49,7.96,54.95,,,,14.28,10.93,783400000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTEX,Technology,24.13,57.03,9.5,39.52,39.9,5.37,62.31,,,,16.02,45.57,1006817000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTIS,Industrials,71.455,273.51,18.490711,24.44,94.565,1.79,3.37,,,,-25.67,79.89,1596000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
RELX,Industrials,35.215,606.53,21.201247,27.56,48.61,3.89,8.12,,,,87.28,49.24,2836000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
RITM,Real Estate,10.22,57.43,17.259469,19.78,12.74,-6.84,-10.63,,,,8.08,67.13,-1292051000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
